Ex_rrow,Section,Location,Easting,Northing,'S'' fall (cm),max,notes,northing, easting, zone, longitude, latitude
Ex_row_1,6-Jan,Eureka Valley Road,462574,4099997,2.3,2.3,,4099997,462574,11,-117.4208796,37.04544892
Ex_row_2,6,Eureka Valley Road jct,463522,4096756,5,5,,4096756,463522,11,-117.4100618,37.01627139
Ex_row_3,Klinger,Eureka Road jct,459987,4103209,28,28,,4103209,459987,11,-117.4501423,37.07429531
Ex_row_4,D,north of road - near canonical,460270,4096835,8,8,,4096835,460270,11,-117.4466219,37.01685157
Ex_row_5,6,East Gulch,460486,4095777,10,10,,4095777,460486,11,-117.4441383,37.00732372
Ex_row_6,6a,East Gulch,460495,4096195,13,13,WGS84,4096195,460495,11,-117.4440591,37.01109201
Ex_row_7,7,East Gulch,460438,4095565,20,20,earlier measurement = 15,4095565,460438,11,-117.4446667,37.0054107
Ex_row_9,9,East Gulch,460313,4095298,100,100,previous value=80 cm,4095298,460313,11,-117.4460576,37.00299865
Ex_row_10,10,East Gulch,460281,4095166,150,150,,4095166,460281,11,-117.4464102,37.00180743
Ex_row_11,18,Crater W,459191,4095648,24,24,>24 base unexposed,4095648,459191,11,-117.4586867,37.00610554
Ex_row_12,19,Crater W,459182,4095748,400,400,>400 base unexposed,4095748,459182,11,-117.4587933,37.00700656
Ex_row_13,20,crater U,459473,4095643,300,300,>300 base unexposed,4095643,459473,11,-117.4555169,37.00607268
Ex_row_14,21,SW wall Ubehebe Crater,,,1500,1500,,NaN,NaN,NaN,-117.4537771,37.00720
Ex_row_15,23,N Wall Ubehebe Crater,459856,4096142,20,20,,4096142,459856,11,-117.4512388,37.01058717
Ex_row_16,25,E Gulch,460643,4096063,10,10,,4096063,460643,11,-117.4423886,37.00990836
Ex_row_17,26,E Gulch,460486,4095777,16,16,just upstream Egulch 6,4095777,460486,11,-117.4441383,37.00732372
Ex_row_18,27,E Gulch,460338,4095130,67,67,up though 'L Hebe'?,4095130,460338,11,-117.4457677,37.00148533
Ex_row_19,28,E Gulch,460340,4094972,65,65,NAD27; up through L'Hebe,4094972,460340,11,-117.4457369,37.00006118
Ex_row_20,27a,E Gulch,460516,4095054,59,59,up though 'L Hebe'?,4095054,460516,11,-117.4437632,37.00080775
Ex_row_21,28a,E Gulch,460336,4095016,45.5,45.5,NAD27; up through L'Hebe,4095016,460336,11,-117.4457842,37.00045763
Ex_row_22,44,E Gulch,460393,4094850,30,30,NAD27; up through L'Hebe,4094850,460393,11,-117.4451349,36.99896369
Ex_row_23,45,E Gulch,460361,4094908,45,45,NAD27; up through L'Hebe,4094908,460361,11,-117.4454976,36.99948516
Ex_row_26,48,top of ridge E of E gulch,460276,4095204,9.5,9.5,WGS84; composite of sublayers,4095204,460276,11,-117.4464684,37.00214976
Ex_row_27,?,E Gulch,460517,4096521,33,33,w Nicole,4096521,460517,11,-117.4438289,37.01403155
Ex_row_28,?,ridge head gulch 1,460241,4095093,24,24,WGS84,4095093,460241,11,-117.446856,37.00114771
Ex_row_35,Section 18 p.130 (2013-2015) ,"In Crater W, where we collected UB-55 to UB-58. ",459099,4095925,800,800,800-1000,4095925,459099,11,-117.4597358,37.00859845
Ex_row_37,Section 47 p.62 (2015-2018),"In E Gulch, where we collected UB-65 to UB-67, ",460242,4095311,68.5,68.5,"51 without thin sublayers; 68.5 up through ""L Hebe'",4095311,460242,11,-117.4468562,37.00311284
Ex_row_40,"near Section 7, p.38 (2015-2019)","in E Gulch, where we collected UB-76 and UB-77",460397,4095789,33,33,,4095789,460397,11,-117.4451393,37.00742815
Ex_row_41,"Section 50, p. 40 (2015-2019)",N of UB crater,459310,4097263,32,32,,4097263,459310,11,-117.4574365,37.02066851
Ex_row_42,"Section 51, p.41 (2015-2019)",N of UB crater,459254,4097688,26.5,26.5,,4097688,459254,11,-117.458089,37.02449708
Ex_row_43,"Section 52, p.42 (2015-2019)",N of UB crater,458920,4098068,25.5,25.5,,4098068,458920,11,-117.4618647,37.02790788
Ex_row_44,"Section 53, p.43 (2015-2019)","N of UB crater, where we collected UB-79 and UB-80",458260,4098684,17.5,17.5,,4098684,458260,11,-117.469319,37.03343144
Ex_row_45,"Section 54, p.44 (2015-2019)",NW of UB crater,458266,4098021,15,15,"""about""",4098021,458266,11,-117.4692148,37.02745537
Ex_row_46,"Section 55, p.44 (2015-2019)",NW of UB crater,458400,4097657,65.8,65.8,,4097657,458400,11,-117.4676882,37.02418019
Ex_row_47,"Section 56, p.46 (2015-2019)",Farther NW of UB crater,458813,4099946,14,14,,4099946,458813,11,-117.4631704,37.04483163
